类型,名称,出处,片段
概念,人乳头瘤病毒,paper_514_39861845,位置: 前言 / chunk 0 | 证据: caused by persistent human papillomavirus (HPV) infection
概念,姜黄素,paper_514_39861845,"位置: 前言 / chunk 0 | 证据: Curcumin and tanshinone IIA were the most potent, relatively nontoxic compounds"
概念,丹参酮IIA,paper_514_39861845,"位置: 前言 / chunk 0 | 证据: Curcumin and tanshinone IIA were the most potent, relatively nontoxic compounds"
概念,W12细胞,paper_514_39861845,位置: Discussion / chunk 10 | 证据: inhibit the growth of W12 cells. These cells are derived from a cervical precancerous lesion
概念,p53,paper_514_39861845,位置: Discussion / chunk 10 | 证据: tanshinone IIA activated the expression of p53 in W12 integrant clones
概念,HPV16 E6/E7,paper_514_39861845,"位置: Discussion / chunk 10 | 证据: tanshinone IIA suppresses the expression of HPV16 early genes, E1, E2 and E4, in addition to E6 and E7"
概念,Na+/K+-ATP酶,paper_514_39861845,位置: Discussion / chunk 10 | 证据: Curcumin and tanshinone IIA may bind to the Na+/K+-ATPase ion channel
概念,分子对接,paper_514_39861845,位置: Discussion / chunk 11 | 证据: Molecular docking analysis revealed that tanshinone IIA and curcumin bind to the Na+/K+-ATPase
概念,凋亡,paper_514_39861845,位置: Discussion / chunk 10 | 证据: Tanshinone IIA induces apoptosis through mitochondrial intrinsic and ER stress pathways
关系,丹参酮IIA | 激活 | p53表达,paper_514_39861845,位置: Discussion / chunk 10 | 证据: tanshinone IIA activated the expression of p53 in W12 integrant clones
关系,丹参酮IIA | 抑制 | HPV16 E6/E7表达,paper_514_39861845,"位置: Discussion / chunk 10 | 证据: tanshinone IIA suppresses the expression of HPV16 early genes, E1, E2 and E4, in addition to E6 and E7"
关系,姜黄素 | 结合 | Na+/K+-ATP酶,paper_514_39861845,位置: Discussion / chunk 11 | 证据: curcumin formed hydrogen bonds with ASN 122 and ASP 884 of the Na+/K+-ATPase protein chain
关系,丹参酮IIA | 结合 | Na+/K+-ATP酶,paper_514_39861845,位置: Discussion / chunk 11 | 证据: tanshinone IIA and curcumin bind to the Na+/K+-ATPase
关系,姜黄素 | 与 | 丹参酮IIA | 协同作用,paper_514_39861845,位置: Discussion / chunk 10 | 证据: tanshinone IIA synergizes with curcumin in cervical cancer cells
关系,姜黄素 | 抑制 | W12细胞生长,paper_514_39861845,位置: Discussion / chunk 10 | 证据: curcumin and tanshinone IIA were the most potent... both strongly inhibit the growth of W12 cells
关系,丹参酮IIA | 抑制 | W12细胞生长,paper_514_39861845,位置: Discussion / chunk 10 | 证据: curcumin and tanshinone IIA were the most potent... both strongly inhibit the growth of W12 cells
关系,植物化合物 | 抑制 | W12细胞生长,paper_514_39861845,位置: Discussion / chunk 10 | 证据: a variety of individual phytochemicals... inhibit the growth of W12 cells
关系,姜黄素 | 激活 | ATM基因表达,paper_514_39861845,位置: Discussion / chunk 11 | 证据: Curcumin activates the expression of genes that function in checkpoint control (ATM; 36-fold)
关系,丹参酮IIA | 诱导 | 凋亡,paper_514_39861845,位置: Discussion / chunk 10 | 证据: Tanshinone IIA induces apoptosis through mitochondrial intrinsic and ER stress pathways
概念,breast cancer (BC),paper_856_39866346,位置: Introduction / chunk 0 | 证据: Breast cancer (BC) is the most prevalent malignant tumor among women globally.
概念,demoralization syndrome,paper_856_39866346,位置: Introduction / chunk 0 | 证据: ...demoralization syndrome among patients with breast cancer (BC)...
关系,breast cancer | associated_with | high incidence and mortality,paper_856_39866346,"位置: Introduction / chunk 0 | 证据: Due to its high incidence and mortality rates among women, BC imposes a significant burden on society..."
关系,breast cancer | 5-year survival rate | over 90%,paper_856_39866346,"位置: Introduction / chunk 0 | 证据: ...patients generally have a favorable prognosis, with a 5-year survival rate of over 90%."
概念,surgical treatment,paper_856_39866346,"位置: Introduction / chunk 0 | 证据: Currently, surgery is an effective treatment for BC. Surgical procedures include classical radical mastectomy, modified radical mastectomy, breast-conserving surgery..."
关系,patients with BC | prevalence_of | moderate-to-severe demoralization,paper_856_39866346,位置: Discussion / chunk 5 | 证据: The present study showed that a majority of patients with BC developed moderate-to-severe levels of demoralization.
关系,demoralization degree | influenced_by | demographic factors,paper_856_39866346,"位置: Discussion / chunk 5 | 证据: The degree of demoralization among patients with BC was complex and influenced by a variety of factors, such as age, education level, residential address, monthly income, occupation, and receipt of chemotherapy."
关系,age over 40 years | risk_factor_for | breast cancer,paper_856_39866346,位置: Discussion / chunk 5 | 证据: ...heightened susceptibility to BC among women aged over 40 years.
关系,chemotherapy | influences | demoralization extent,paper_856_39866346,位置: Conclusion / chunk 6 | 证据: ...therapy utilization influenced the extent of demoralization among patients with BC.
概念,social support,paper_856_39866346,"位置: Conclusion / chunk 6 | 证据: In this study, the mean social support score of patients with BC was above moderate..."
关系,social support | associated_with | treatment of disease,paper_856_39866346,位置: Conclusion / chunk 6 | 证据: ...favorable social support can provide patients with a sense of security... which is conducive to the treatment of disease.
概念,慢性肾病 (CKD),paper_528_39867944,位置: 前言 / chunk 0 / page 2 | 证据: Chronic kidney disease (CKD) is a progressive condition that arises from diverse etiological factors
概念,失巢凋亡 (anoikis),paper_528_39867944,位置: 前言 / chunk 0 / page 2 | 证据: aimed to establish the Anoikis-related gene signature in CKD
概念,枢纽基因 (hub genes),paper_528_39867944,"位置: Discussion / chunk 12 / page 19 | 证据: analysis yielded 6 hub genes: LAMC2, NRP1, CDH3, NDRG1, CLDN1, and LAMB3"
概念,LAMB3,paper_528_39867944,位置: Discussion / chunk 12 / page 19 | 证据: LAMB3 is also linked to poor prognosis in PDAC
概念,CDH3,paper_528_39867944,位置: Discussion / chunk 12 / page 19 | 证据: CDH3 plays a crucial role in the organization of cells during the epithelial-mesenchymal transition
概念,ICAM1,paper_528_39867944,位置: Discussion / chunk 12 / page 19 | 证据: High levels of ICAM-1 expression in tumors and plasma of patients with non-small cell lung cancer
概念,CASP8,paper_528_39867944,"位置: Discussion / chunk 13 / page 19 | 证据: caspase-8 functions as a molecular switch among apoptosis, necrosis, and pyroptosis, and it is also implicated in the occurrence of cell anoikis"
关系,CKD | 关联 | 失巢凋亡,paper_528_39867944,位置: Discussion / chunk 12 / page 19 | 证据: Identifying potential biomarkers associated with anoikis and CKD progression might be an effective avenue to prevent and treat CKD
关系,枢纽基因 | 具有 | 诊断效果,paper_528_39867944,位置: Discussion / chunk 12 / page 19 | 证据: univariate logistic regression analysis demonstrated that all hub genes had significant diagnostic effects
关系,CDH3 | 作为 | 生物标志物,paper_528_39867944,位置: Conclusion / chunk 14 / page 20 | 证据: such as CDH3 might serve as potential key biomarkers of Anoikis-related progression in CKD
关系,LAMB3 | 上调 | 细胞凋亡,paper_528_39867944,位置: Discussion / chunk 12 / page 19 | 证据: the upregulation of LAMB3 has been identified as a regulator of cell apoptosis
关系,ICAM1 | 增强 | 抗PD-1疗法疗效,paper_528_39867944,位置: Discussion / chunk 13 / page 19 | 证据: soluble ICAM-1 may enhance the efficacy of anti-PD-1 therapies by activating cytotoxic T cells
关系,失巢凋亡抵抗 | 改变 | 肿瘤微环境,paper_528_39867944,位置: Discussion / chunk 12 / page 19 | 证据: Increased resistance to anoikis plays a crucial role in altering the tumor microenvironment
关系,研究 | 识别 | 差异表达基因,paper_528_39867944,"位置: Discussion / chunk 12 / page 19 | 证据: In this study, we utilized bioinformatics approaches to identify 1738 DEGs between the CKD and Normal groups"
概念,Acne vulgaris,paper_361_39867973,"位置: 前言 / chunk 0 | 证据: Acne vulgaris is a common dermatological condition characterized by the formation of comedones, papules, pustules, and nodules"
概念,Clascoterone cream 1%,paper_361_39867973,"位置: 前言 / chunk 0 | 证据: Clascoterone cream 1%, a topical androgen receptor inhibitor, is a first-in-class therapy approved for the treatment of acne vulgaris"
概念,Topical androgen receptor inhibitor,paper_361_39867973,"位置: 前言 / chunk 0 | 证据: Clascoterone cream 1%, a topical androgen receptor inhibitor, is a first-in-class therapy"
概念,Androgens role in acne pathogenesis,paper_361_39867973,位置: 前言 / chunk 0 | 证据: Androgens play a key role in acne pathogenesis by stimulating production of sebum and proinflammatory cytokines
概念,Standard acne treatments,paper_361_39867973,"位置: 前言 / chunk 0 | 证据: Treatment of acne typically involves a multimodal approach. Topical agents such as retinoids, benzoyl peroxide, and salicylic acid"
概念,Systemic therapies for acne,paper_361_39867973,"位置: 前言 / chunk 0 | 证据: systemic therapies including oral antibiotics, hormonal agents (eg, spironolactone), and isotretinoin are reserved for moderate-to-severe cases"
概念,Treatment limitations,paper_361_39867973,位置: 前言 / chunk 0 | 证据: many are associated with side effects or have burdensome monitoring requirements that can limit their tolerability
概念,Real-world evidence,paper_361_39867973,"位置: Discussion / chunk 5 | 证据: This case series provides real-world evidence for the effectiveness, safety, and tolerability of clascoterone cream 1%"
概念,Acne in transgender patients,paper_361_39867973,位置: Discussion / chunk 5 | 证据: Acne is a common adverse effect observed in transgender individuals receiving masculinizing hormone therapy
概念,Multimodal approach,paper_361_39867973,位置: Discussion / chunk 5 | 证据: The American Academy of Dermatology guidelines recommend a multimodal approach to therapy incorporating agents with multiple mechanisms of action
概念,Maintenance therapy,paper_361_39867973,位置: Discussion / chunk 5 | 证据: The efficacy of clascoterone in preventing acne relapse underscores the importance of individualized maintenance therapy strategies
概念,Other dermatological conditions,paper_361_39867973,位置: Discussion / chunk 5 | 证据: There is growing interest in the potential application of clascoterone in other dermatological conditions
概念,Androgenetic alopecia,paper_361_39867973,位置: Discussion / chunk 5 | 证据: Clascoterone may also benefit patients with androgenetic alopecia via competitive inhibition of dihydrotestosterone
关系,Clascoterone cream 1% | approved_for | acne vulgaris,paper_361_39867973,位置: 前言 / chunk 0 | 证据: Clascoterone cream 1%... approved for the treatment of acne vulgaris in male and female patients ≥12 years old
关系,Clascoterone | mechanism_of_action | androgen receptor inhibitor,paper_361_39867973,"位置: 前言 / chunk 0 | 证据: Clascoterone cream 1%, a topical androgen receptor inhibitor"
关系,Androgens | increases | sebum production,paper_361_39867973,位置: 前言 / chunk 0 | 证据: Androgens play a key role in acne pathogenesis by stimulating production of sebum
关系,"Clascoterone | effective_regardless_of | acne severity, age, gender, ethnicity",paper_361_39867973,"位置: Discussion / chunk 5 | 证据: Clascoterone was effective and well tolerated across all patients regardless of acne severity, age, gender, or ethnicity"
关系,Clascoterone | used_as | adjunctive treatment,paper_361_39867973,位置: Discussion / chunk 5 | 证据: the addition of clascoterone to the patient's current treatment regimen... also helped to mitigate the side effects caused by other medications or laser devices
关系,Clascoterone | safe_option_for | transgender patients,paper_361_39867973,位置: Discussion / chunk 5 | 证据: the use of topical antiandrogens such as clascoterone has been proposed as a safe option for acne treatment in transmasculine patients
关系,Clascoterone | prevents | acne relapse,paper_361_39867973,位置: Discussion / chunk 5 | 证据: The efficacy of clascoterone in preventing acne relapse following isotretinoin therapy underscores the importance of individualized maintenance therapy
关系,Clascoterone | reduces | lesions in hidradenitis suppurativa,paper_361_39867973,位置: Discussion / chunk 5 | 证据: clascoterone cream 1% led to substantial reduction in the number and severity of lesions in patients with HS
关系,Clascoterone | inhibits | dihydrotestosterone,paper_361_39867973,位置: Discussion / chunk 5 | 证据: Clascoterone may also benefit patients with androgenetic alopecia via competitive inhibition of dihydrotestosterone
关系,Clascoterone | addresses | multiple dermatologic concerns,paper_361_39867973,"位置: Discussion / chunk 6 | 证据: adding clascoterone... helped to address other patient concerns... including hirsutism, HS, retinoid-induced dermatitis, androgenetic alopecia, folliculitis, and postinflammatory hyperpigmentation"
概念,医院获得性肺炎 (HAP),paper_103_39867290,"位置: 前言 / chunk 0 / page 2 | 证据: Nosocomial pneumonia (NP), including hospital-acquired pneumonia (HAP) and ventilator-associated pneumonia (VAP)"
概念,呼吸机相关性肺炎 (VAP),paper_103_39867290,"位置: 前言 / chunk 0 / page 2 | 证据: Nosocomial pneumonia (NP), including hospital-acquired pneumonia (HAP) and ventilator-associated pneumonia (VAP)"
概念,鲍曼不动杆菌 (Acinetobacter baumannii),paper_103_39867290,位置: 前言 / chunk 0 / page 2 | 证据: the three causative pathogens of NP were Acinetobacter baumannii
概念,肺炎克雷伯菌 (Klebsiella pneumoniae),paper_103_39867290,位置: 前言 / chunk 0 / page 2 | 证据: Klebsiella pneumoniae (28.3%)
概念,铜绿假单胞菌 (Pseudomonas aeruginosa),paper_103_39867290,位置: 前言 / chunk 0 / page 2 | 证据: P. aeruginosa isolates (16.9%)
概念,碳青霉烯耐药 (Carbapenem resistance),paper_103_39867290,位置: 前言 / chunk 0 / page 2 | 证据: A high rate of carbapenem resistance (CR) in A. baumannii (92.5%) was observed
关系,鲍曼不动杆菌 | 是主要病原体 | 医院获得性肺炎/呼吸机相关性肺炎,paper_103_39867290,"位置: Discussion / chunk 6 / pages 8-9 | 证据: A. baumannii, P. aeruginosa, and K. pneumoniae were significant causes of both HAP and VAP"
关系,鲍曼不动杆菌 | 对碳青霉烯耐药率高 | 92.5%,paper_103_39867290,位置: Discussion / chunk 6 / pages 8-9 | 证据: The CR rate of A. baumannii in this study (92.5%) was substantially higher than both published reports
关系,铜绿假单胞菌 | 对碳青霉烯耐药率 | 16.9%,paper_103_39867290,位置: Discussion / chunk 6 / pages 8-9 | 证据: P. aeruginosa in this study had lower CR rate (16.9%) than the two nationwide reports
关系,肺炎克雷伯菌 | 对碳青霉烯耐药率 | 20.6%,paper_103_39867290,位置: 前言 / chunk 0 / page 2 | 证据: carbapenem resistance (CR) ... observed in K. pneumoniae (20.6%)
关系,医院获得性肺炎/呼吸机相关性肺炎患者 | 中位住院时间 | 11天,paper_103_39867290,位置: Discussion / chunk 6 / pages 8-9 | 证据: median length of stay (LOS) of 11 days (IQR 3–24 days)
关系,呼吸机相关性肺炎患者 | 中位机械通气时间 | 12天,paper_103_39867290,位置: Discussion / chunk 6 / pages 8-9 | 证据: median length of mechanical ventilation support after the diagnosis of NP was 12 days
关系,医院获得性肺炎/呼吸机相关性肺炎患者 | 30天再入院率 | 2%,paper_103_39867290,位置: 前言 / chunk 0 / page 2 | 证据: 30-day readmission rate was less than 2%
概念,主要发现,paper_103_39867290,位置: Conclusion / chunk 8 / page 10 | 证据: This real-world study in Thailand highlights the significant burden of A. baumannii and its high carbapenem resistance in HAP and VAP
概念,Diabetic kidney disease (DKD),paper_196_39871959,位置: 前言 / chunk 0 | 证据: Diabetic kidney disease (DKD) is a major chronic kidney disease (CKD) in China and worldwide
概念,End-stage renal disease (ESRD),paper_196_39871959,位置: 前言 / chunk 0 | 证据: end-stage renal disease (ESRD) requiring long-term dialysis
概念,Proteinuria,paper_196_39871959,"位置: 前言 / chunk 0 | 证据: leakage of large molecular proteins into the urine, resulting in proteinuria"
概念,Hyperglycemia,paper_196_39871959,位置: 前言 / chunk 0 | 证据: Chronic high blood sugar levels can damage the glomeruli and renal tubules
概念,Angiotensin-converting enzyme inhibitors (ACEIs),paper_196_39871959,"位置: 前言 / chunk 0 | 证据: new therapeutic drugs, such as angiotensin-converting enzyme inhibitors (ACEIs)"
概念,Sodium-dependent glucose co-transporter 2 inhibitor (SGLT2i),paper_196_39871959,"位置: 前言 / chunk 0 | 证据: and sodium-dependent glucose co-transporter 2 inhibitor (SGLT2i), have achieved good results in treating DKD"
概念,Immune regulation,paper_196_39871959,位置: 前言 / chunk 0 | 证据: Recent studies have shown that immune regulation is closely associated with the development of glomerulosclerosis
概念,Mendelian randomization (MR),paper_196_39871959,位置: 前言 / chunk 0 | 证据: Mendelian randomization (MR) uses genetic variation to determine whether observed associations between risk factors and outcomes are consistent with causal effects
概念,Single-cell RNA sequencing (scRNA-seq),paper_196_39871959,位置: 前言 / chunk 1 | 证据: the emerging technology of single-cell RNA sequencing (scRNA-seq) in recent years allows for comprehensive analysis of individual cells
概念,LASSO regression,paper_196_39871959,位置: 前言 / chunk 2 | 证据: We used Lasso regression algorithm to screen these key genes
概念,Gene Set Enrichment Analysis (GSEA),paper_196_39871959,"位置: 前言 / chunk 2 | 证据: Then, Gene Set Enrichment Analysis (GSEA) and Gene Set Variation Analysis (GSVA) were used"
概念,AKT2,paper_196_39871959,位置: Discussion / chunk 10 | 证据: AKT2 has been found to regulate glucose metabolism and is mainly expressed in insulin-responsive tissues
概念,Interleukin-2 receptor beta (IL2RB),paper_196_39871959,位置: Discussion / chunk 10 | 证据: Interleukin-2 receptor beta (IL2RB) is an interleukin-2 receptor. IL2RB may be involved in T-cell-mediated immune response regulation
概念,Neurexin 3 (NRXN3),paper_196_39871959,位置: Discussion / chunk 10 | 证据: Previous studies have shown that NRXN3 is involved in metabolism and obesity regulation and is related to diabetes
概念,SLIT3,paper_196_39871959,"位置: Discussion / chunk 10 | 证据: Slit guidance ligand proteins, referred to as SLITs, include several subtypes, such as SLIT1, SLIT2, and SLIT3"
概念,TBPL1,paper_196_39871959,位置: Discussion / chunk 10 | 证据: TBPL1 (TRF2) is a metazoan TBP analog with 40% homology to TBP. It plays an important transcriptional role
概念,Oxidative stress,paper_196_39871959,位置: Discussion / chunk 11 | 证据: Oxidative stress and the inflammatory response have been recognized as important processes in the pathogenesis of DKD
概念,Inflammatory response,paper_196_39871959,位置: Discussion / chunk 11 | 证据: Oxidative stress and the inflammatory response have been recognized as important processes in the pathogenesis of DKD
概念,Ferroptosis,paper_196_39871959,"位置: Discussion / chunk 11 | 证据: the typical changes in ferroptosis include significant lipid peroxidation, impaired antioxidant capacity, and iron overload"
概念,Complement cascade,paper_196_39871959,"位置: Discussion / chunk 11 | 证据: the complement cascade can lead to damage in diseases not traditionally considered immune-mediated diseases, including DKD"
关系,Hyperglycemia | causes | glomerular damage,paper_196_39871959,位置: 前言 / chunk 0 | 证据: Chronic high blood sugar levels can damage the glomeruli and renal tubules
关系,Hyperglycemia | causes | proteinuria,paper_196_39871959,"位置: 前言 / chunk 0 | 证据: leakage of large molecular proteins into the urine, resulting in proteinuria"
关系,Hyperglycemia | increases | oxidative stress,paper_196_39871959,"位置: 前言 / chunk 0 | 证据: hyperglycemia can also increase intracellular oxidative stress, resulting in increased production of oxygen free radicals"
关系,DKD | leads_to | ESRD,paper_196_39871959,位置: 前言 / chunk 0 | 证据: Approximately half of DKD patients are estimated to develop end-stage renal disease (ESRD) requiring long-term dialysis
关系,SGLT2i | treats | DKD,paper_196_39871959,"位置: 前言 / chunk 0 | 证据: sodium-dependent glucose co-transporter 2 inhibitor (SGLT2i), have achieved good results in treating DKD"
关系,Immune regulation | associated_with | DKD progression,paper_196_39871959,"位置: 前言 / chunk 0 | 证据: immune regulation is closely associated with the development of glomerulosclerosis, tubulointerstitial fibrosis, and ESRD in a variety of kidney diseases"
关系,MR analysis | identifies | causal genes,paper_196_39871959,位置: 前言 / chunk 2 | 证据: This study used MR analysis to identify the key genes that are causally associated with the development of DKD
关系,AKT2 | causally_associated_with | DKD,paper_196_39871959,位置: Discussion / chunk 10 | 证据: our study provides robust evidence that 20 proteins are causally associated with DKD...AKT2
关系,IL2RB | causally_associated_with | DKD,paper_196_39871959,位置: Discussion / chunk 10 | 证据: our study provides robust evidence that 20 proteins are causally associated with DKD...IL2RB
关系,NRXN3 | causally_associated_with | DKD,paper_196_39871959,位置: Discussion / chunk 10 | 证据: Our research indicated that there is a causal relationship between NRXN3 and DKD
关系,SLIT3 | involved_in | immune regulation,paper_196_39871959,位置: Discussion / chunk 10 | 证据: the Slit3 gene actively participates in the immune regulatory pathway and inflammatory response in DKD
关系,TBPL1 | regulatory_role_in | DKD,paper_196_39871959,位置: Discussion / chunk 10 | 证据: Our study revealed that TBPL1 may also play an important regulatory role in the occurrence and development of DKD
关系,SGLT2i | reduces | inflammation and oxidative stress,paper_196_39871959,"位置: Discussion / chunk 11 | 证据: SGLT2i treatment reduces overactivation of the HIF1α/HO1 axis, significantly alleviating inflammation and oxidative stress associated with ferroptosis"
关系,ACEIs/ARBs | reduce | macrophage infiltration,paper_196_39871959,位置: Discussion / chunk 11 | 证据: ACEIs and angiotensin II receptor blockers (ARBs) have been proved to reduce the infiltration of renal macrophages in animal models of diabetes
概念,SARS-CoV-2,paper_73_39861838,位置: 前言 / chunk 0 / page 3 | 证据: The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a positive-stranded RNA virus belonging to the Coronaviridae family
概念,COVID-19,paper_73_39861838,位置: 前言 / chunk 0 / page 3 | 证据: Coronavirus Disease 2019 (COVID-19) has been associated with high mortality rates and severe evolution in patients with advanced age and/or comorbidities
概念,hematological malignancies,paper_73_39861838,位置: 前言 / chunk 0 / page 3 | 证据: It was particularly severe in patients with hematological malignancies; mortality rates reached 21% in patients with lymphoid malignancies
概念,viral RNA shedding persistence,paper_73_39861838,位置: Discussion / chunk 6 / pages 11-14 | 证据: 51% of patients with hematological malignancies exhibited ongoing viral shedding
概念,persistent PCR positivity,paper_73_39861838,位置: Discussion / chunk 6 / pages 11-14 | 证据: persistent PCR positivity was taken into consideration regardless of symptomatology
关系,hematological malignancies | associated_with | prolonged viral shedding,paper_73_39861838,位置: Discussion / chunk 6 / pages 11-14 | 证据: 51% of patients with hematological malignancies exhibited ongoing viral shedding
关系,median duration | of | PCR positivity,paper_73_39861838,位置: Discussion / chunk 6 / pages 11-14 | 证据: the median duration of PCR positivity was 34 days (range 7–92 days)
概念,SARS-CoV-2 variants,paper_73_39861838,位置: Discussion / chunk 6 / pages 11-14 | 证据: Three different SARS-CoV-2 variants were found during the study period
概念,Omicron variant,paper_73_39861838,"位置: Discussion / chunk 6 / pages 11-14 | 证据: The fourth and fifth waves were caused by the Omicron variation, which was the most common"
关系,persistent PCR positivity | correlated_with | lymphopenia,paper_73_39861838,位置: Discussion / chunk 6 / pages 11-14 | 证据: persistent RNA shedding was substantially correlated with lymphopenia
概念,immunocompromised patients as reservoirs,paper_73_39861838,位置: 前言 / chunk 0 / page 3 | 证据: immunocompromised patients can possibly serve as reservoirs to maintain viral circulation and to select new mutants
概念,viral evolution in immunocompromised,paper_73_39861838,位置: Discussion / chunk 6 / pages 11-14 | 证据: the intra-host evolution of the virus and the rate of 1.3 × 10^-3 mutations reported in patients with impaired immune systems
概念,病毒在环境中的作用,paper_452_39861875,"位置: 前言 / chunk 0 | 证据: Viruses are widely found in a variety of environments, where they play an important role. They form the foundation of the Earth’s ecological pyramid and significantly impact bacterial diversity and population structure."
概念,病毒生态学研究现状,paper_452_39861875,"位置: 前言 / chunk 1 | 证据: Current research on viruses, whether in the environment or in organisms, primarily focuses on virus–host interactions; the distribution of viruses in natural environments; and their evolution, survival patterns, and modes of transmission."
概念,COVID-19 疫情对病毒研究的影响,paper_452_39861875,"位置: 前言 / chunk 1 | 证据: The outbreak of the novel coronavirus (SARS-CoV-2, the agent of COVID-19) has sparked widespread interest in the virus–host–environment triad, driving research advancements in viral ecology."
概念,病毒研究方法学问题,paper_452_39861875,"位置: 前言 / chunk 2 | 证据: In the past, there have been a number of traditional viral particle assays, such as the plaque forming units (PFU) method, the 50% tissue culture infective dose (TCID50) method, and the real-time fluorescence quantitative PCR (qPCR) method."
概念,新兴病毒滴度测定方法,paper_452_39861875,"位置: 前言 / chunk 2 | 证据: However, there is a proliferation of emerging methods for viral titration. For example, the fluorescence focus assay (FFA) can detect and titrate viral infectivity based on the binding of specific antibodies to viral antigens."
概念,酶联免疫吸附试验 (ELISA),paper_452_39861875,"位置: 前言 / chunk 3 | 证据: There is also the enzyme-linked immunosorbent assay (ELISA), which is fast, simple, specific, efficient, and similar in accuracy and sensitivity to traditional methods."
概念,微滴数字PCR (ddPCR),paper_452_39861875,"位置: 前言 / chunk 3 | 证据: Currently, droplet digital PCR (ddPCR) is also highly used, which is highly accurate and allows for absolute quantification of target virus particles in samples without the need to prepare a standard curve."
关系,病毒 | 影响 | 细菌多样性和种群结构,paper_452_39861875,位置: 前言 / chunk 0 | 证据: Viruses ... significantly impact bacterial diversity and population structure.
关系,病毒 | 参与 | 生态系统物质和能量循环,paper_452_39861875,"位置: 前言 / chunk 0 | 证据: By infecting and killing bacteria, viruses participate in and influence the material and energy cycles within ecosystems."
关系,SARS-CoV-2 | 引发 | 对病毒-宿主-环境三元组的广泛兴趣,paper_452_39861875,"位置: 前言 / chunk 1 | 证据: The outbreak of the novel coronavirus (SARS-CoV-2, the agent of COVID-19) has sparked widespread interest in the virus–host–environment triad."
关系,qPCR方法 | 特点 | 快速且灵敏,paper_452_39861875,"位置: 前言 / chunk 2 | 证据: ... the qPCR method is rapid and sensitive, it does not ensure quantification of infectious virus particles only."
关系,荧光聚焦测定法 (FFA) | 用于 | 检测和滴定病毒感染性,paper_452_39861875,"位置: 前言 / chunk 2 | 证据: For example, the fluorescence focus assay (FFA) can detect and titrate viral infectivity based on the binding of specific antibodies to viral antigens."
关系,微滴数字PCR (ddPCR) | 允许 | 绝对定量,paper_452_39861875,位置: 前言 / chunk 3 | 证据: ... droplet digital PCR (ddPCR) ... allows for absolute quantification of target virus particles in samples without the need to prepare a standard curve.
概念,淋巴腺病 (LAP),paper_579_39902271,位置: 前言 / chunk 0 | 证据: Lymphadenopathy (LAP) is the term used to describe the invasion of lymph nodes by different cells (cancer or inflammatory cells)
概念,结核性淋巴结炎 (TB lymphadenitis),paper_579_39902271,"位置: 前言 / chunk 0 | 证据: tuberculous lymphadenitis was the most common, pursued by malignant causes (21.8%)"
概念,恶性淋巴腺病 (malignant LAP),paper_579_39902271,位置: 前言 / chunk 0 | 证据: malignant causes (21.8%)
概念,颈部淋巴结 (cervical lymph nodes),paper_579_39902271,位置: 前言 / chunk 0 | 证据: the most commonly affected lymph node was the cervical region
概念,体重减轻 (weight loss),paper_579_39902271,位置: 前言 / chunk 0 | 证据: weight loss was a significant in terms of malignancy and tuberculosis (p<0.001)
概念,红细胞沉降率 (ESR),paper_579_39902271,位置: 前言 / chunk 0 | 证据: erythrocyte sedimentation rate (p<0.001) revealed differences across the diagnostic groups
概念,C反应蛋白 (CRP),paper_579_39902271,位置: 前言 / chunk 0 | 证据: C-reactive protein (p:0.001) revealed differences across the diagnostic groups
概念,细针穿刺活检 (FNAB),paper_579_39902271,位置: 前言 / chunk 0 | 证据: the biopsy method was fine needle aspiration biopsy
概念,超声检查 (ultrasonography),paper_579_39902271,位置: 前言 / chunk 0 | 证据: the radiological method used was ultrasonography
关系,结核性淋巴结炎 | 最常见原因 | 淋巴腺病,paper_579_39902271,位置: 前言 / chunk 0 | 证据: Our finding revealed tuberculosis as the commonest cause of lymphadenopathy
关系,体重减轻 | 关联 | 恶性肿瘤,paper_579_39902271,位置: 前言 / chunk 0 | 证据: weight loss was a significant in terms of malignancy
关系,体重减轻 | 关联 | 结核病,paper_579_39902271,位置: 前言 / chunk 0 | 证据: weight loss was a significant in terms of tuberculosis (p<0.001)
概念,非霍奇金淋巴瘤 (NHL),paper_579_39902271,"位置: Discussion / chunk 5 | 证据: Of the patients, 4.7% had cancer, with NHL making up the majority (46.0%)"
概念,转移性淋巴腺病 (metastatic LAP),paper_579_39902271,位置: Discussion / chunk 5 | 证据: Metastatic LAPs (20%) have been documented as the other etiological reasons
概念,反应性淋巴结炎 (reactive lymphadenitis),paper_579_39902271,位置: Discussion / chunk 5 | 证据: reactive lymphadenitis (15.3%) and TB lymphadenitis (9.5%) have been documented
概念,菊池病 (Kikuchi-Fujimoto disease),paper_579_39902271,位置: Discussion / chunk 7 | 证据: One individual with Rosai-Dorfman disease and one with Kikuchi-Fujimoto disease were identified among the 317 cases
概念,川崎病 (Kawasaki disease),paper_579_39902271,位置: Discussion / chunk 7 | 证据: Patients with Kawasaki disease who primarily exhibit cervical LAP are at a high risk of being misdiagnosed
概念,抗结核治疗 (Anti-TB treatment),paper_579_39902271,位置: Discussion / chunk 7 | 证据: Anti-TB treatment was evidently the longest-lasting type of treatment (p<0.001)
关系,结核性淋巴结炎 | 主要影响 | 颈部区域,paper_579_39902271,"位置: Discussion / chunk 5 | 证据: TB, which largely affected the cervical region and accounted for 123 cases of LAP in our study, was the most common cause"
